text,label
compare B+ patients based on their test result,compare
patients diagnosed with Metformin,filter
trend of patient admissions,trend
show Aetna patients,filter
show average billing for insurance provider patients,aggregate
how many Ibuprofen patients,count
patients diagnosed with AB-,filter
count B+ cases,count
billing trend for flu,trend
patients diagnosed with AB-,filter
list Blue Cross cases,filter
number of female patients,count
count O+ cases,count
compare hypertension cases by medication,compare
find all referral patients,filter
average age grouped by blood type,aggregate
patients diagnosed with Blue Cross,filter
average billing amount by hospital,aggregate
trend of patient admissions,trend
show arthritis patients,filter
find all AB+ patients,filter
compare Blue Cross cases by gender,compare
compare asthma patients based on test result,compare
billing trend for A+,trend
how many positive patients,count
billing trend for AB-,trend
patients diagnosed with negative,filter
compare Blue Cross cases by admission type,compare
show patients with arthritis,filter
show trend of A+ cases,trend
average age grouped by gender,aggregate
billing trend for emergency,trend
compare Metformin patients based on their gender,compare
compare male cases by insurance provider,compare
show patients with O+,filter
number of covid patients,count
how many B- patients,count
compare flu patients based on their admission type,compare
compare asthma patients based on their insurance provider,compare
compare negative patients based on their medical condition,compare
billing trend for UnitedHealth,trend
list emergency cases,filter
number of Blue Cross patients,count
show average billing for medication patients,aggregate
show trend of referral cases,trend
number of Ibuprofen patients,count
patients diagnosed with Ibuprofen,filter
show female patients,filter
show AB- patients,filter
billing trend for arthritis,trend
show negative patients,filter
compare patients with arthritis based on admission type,compare
compare Blue Cross patients based on their blood type,compare
compare patients with negative based on hospital,compare
average age grouped by insurance provider,aggregate
show trend of positive cases,trend
number of hypertension patients,count
show trend of B- cases,trend
show average billing for gender patients,aggregate
show average billing for gender patients,aggregate
number of hypertension patients,count
compare patients with UnitedHealth based on insurance provider,compare
show diabetes patients,filter
find all referral patients,filter
find all female patients,filter
compare male patients based on their admission type,compare
show average billing for gender patients,aggregate
show Aspirin patients,filter
show average billing for gender patients,aggregate
trend of patient admissions,trend
how many Aetna patients,count
number of UnitedHealth patients,count
compare B- patients based on their test result,compare
compare male patients based on gender,compare
number of O- patients,count
how many Metformin patients,count
list routine cases,filter
how many AB+ patients,count
show trend of flu cases,trend
trend of patient admissions,trend
show average billing for blood type patients,aggregate
show trend of UnitedHealth cases,trend
compare patients with B+ based on test result,compare
